#	x	y	value.real	value.imag	value.abs
+2.000000e+01	+4.000000e-01	+5.392066e-05	+0.000000e+00	+5.392066e-05

+0.000000e+00	+8.000000e-01	+1.379862e+00	+0.000000e+00	+1.379862e+00
+4.000000e-01	+8.000000e-01	+1.191200e+00	+0.000000e+00	+1.191200e+00
+8.000000e-01	+8.000000e-01	+1.110131e+00	+0.000000e+00	+1.110131e+00
+1.200000e+00	+8.000000e-01	+1.039847e+00	+0.000000e+00	+1.039847e+00
+1.600000e+00	+8.000000e-01	+9.743935e-01	+0.000000e+00	+9.743935e-01
+2.000000e+00	+8.000000e-01	+9.138570e-01	+0.000000e+00	+9.138570e-01
+2.400000e+00	+8.000000e-01	+8.573186e-01	+0.000000e+00	+8.573186e-01
+2.800000e+00	+8.000000e-01	+8.043769e-01	+0.000000e+00	+8.043769e-01
+3.200000e+00	+8.000000e-01	+7.547551e-01	+0.000000e+00	+7.547551e-01
+3.600000e+00	+8.000000e-01	+7.081871e-01	+0.000000e+00	+7.081871e-01
+4.000000e+00	+8.000000e-01	+6.644637e-01	+0.000000e+00	+6.644637e-01
+4.400000e+00	+8.000000e-01	+6.234029e-01	+0.000000e+00	+6.234029e-01
+4.800000e+00	+8.000000e-01	+5.848267e-01	+0.000000e+00	+5.848267e-01
+5.200000e+00	+8.000000e-01	+5.485737e-01	+0.000000e+00	+5.485737e-01
+5.600000e+00	+8.000000e-01	+5.144935e-01	+0.000000e+00	+5.144935e-01
+6.000000e+00	+8.000000e-01	+4.824482e-01	+0.000000e+00	+4.824482e-01
+6.400000e+00	+8.000000e-01	+4.523069e-01	+0.000000e+00	+4.523069e-01
+6.800000e+00	+8.000000e-01	+4.239504e-01	+0.000000e+00	+4.239504e-01
+7.200000e+00	+8.000000e-01	+3.972671e-01	+0.000000e+00	+3.972671e-01
+7.600000e+00	+8.000000e-01	+3.721518e-01	+0.000000e+00	+3.721518e-01
+8.000000e+00	+8.000000e-01	+3.485060e-01	+0.000000e+00	+3.485060e-01
+8.400000e+00	+8.000000e-01	+3.262370e-01	+0.000000e+00	+3.262370e-01
+8.800000e+00	+8.000000e-01	+3.052569e-01	+0.000000e+00	+3.052569e-01
+9.200000e+00	+8.000000e-01	+2.854834e-01	+0.000000e+00	+2.854834e-01
+9.600000e+00	+8.000000e-01	+2.668404e-01	+0.000000e+00	+2.668404e-01
+1.000000e+01	+8.000000e-01	+2.492511e-01	+0.000000e+00	+2.492511e-01
+1.040000e+01	+8.000000e-01	+2.326495e-01	+0.000000e+00	+2.326495e-01
+1.080000e+01	+8.000000e-01	+2.169669e-01	+0.000000e+00	+2.169669e-01
+1.120000e+01	+8.000000e-01	+2.021435e-01	+0.000000e+00	+2.021435e-01
+1.160000e+01	+8.000000e-01	+1.881178e-01	+0.000000e+00	+1.881178e-01
+1.200000e+01	+8.000000e-01	+1.748353e-01	+0.000000e+00	+1.748353e-01
+1.240000e+01	+8.000000e-01	+1.622447e-01	+0.000000e+00	+1.622447e-01
+1.280000e+01	+8.000000e-01	+1.502974e-01	+0.000000e+00	+1.502974e-01
+1.320000e+01	+8.000000e-01	+1.389447e-01	+0.000000e+00	+1.389447e-01
+1.360000e+01	+8.000000e-01	+1.281438e-01	+0.000000e+00	+1.281438e-01
+1.400000e+01	+8.000000e-01	+1.178498e-01	+0.000000e+00	+1.178498e-01
+1.440000e+01	+8.000000e-01	+1.080225e-01	+0.000000e+00	+1.080225e-01
+1.480000e+01	+8.000000e-01	+9.862189e-02	+0.000000e+00	+9.862189e-02
+1.520000e+01	+8.000000e-01	+8.961011e-02	+0.000000e+00	+8.961011e-02
+1.560000e+01	+8.000000e-01	+8.095164e-02	+0.000000e+00	+8.095164e-02
+1.600000e+01	+8.000000e-01	+7.261005e-02	+0.000000e+00	+7.261005e-02
+1.640000e+01	+8.000000e-01	+6.455426e-02	+0.000000e+00	+6.455426e-02
+1.680000e+01	+8.000000e-01	+5.675099e-02	+0.000000e+00	+5.675099e-02
+1.720000e+01	+8.000000e-01	+4.917209e-02	+0.000000e+00	+4.917209e-02
+1.760000e+01	+8.000000e-01	+4.178748e-02	+0.000000e+00	+4.178748e-02
+1.800000e+01	+8.000000e-01	+3.457077e-02	+0.000000e+00	+3.457077e-02
+1.840000e+01	+8.000000e-01	+2.749275e-02	+0.000000e+00	+2.749275e-02
+1.880000e+01	+8.000000e-01	+2.052774e-02	+0.000000e+00	+2.052774e-02
+1.920000e+01	+8.000000e-01	+1.364777e-02	+0.000000e+00	+1.364777e-02
+1.960000e+01	+8.000000e-01	+6.818962e-03	+0.000000e+00	+6.818962e-03
+2.000000e+01	+8.000000e-01	+0.000000e+00	+0.000000e+00	+0.000000e+00

+0.000000e+00	+1.200000e+00	+1.743138e+00	+0.000000e+00	+1.743138e+00
+4.000000e-01	+1.200000e+00	+1.763776e+00	+0.000000e+00	+1.763776e+00
+8.000000e-01	+1.200000e+00	+1.654049e+00	+0.000000e+00	+1.654049e+00
+1.200000e+00	+1.200000e+00	+1.551707e+00	+0.000000e+00	+1.551707e+00
+1.600000e+00	+1.200000e+00	+1.455680e+00	+0.000000e+00	+1.455680e+00
+2.000000e+00	+1.200000e+00	+1.365778e+00	+0.000000e+00	+1.365778e+00
+2.400000e+00	+1.200000e+00	+1.281510e+00	+0.000000e+00	+1.281510e+00
+2.800000e+00	+1.200000e+00	+1.202487e+00	+0.000000e+00	+1.202487e+00
+3.200000e+00	+1.200000e+00	+1.128346e+00	+0.000000e+00	+1.128346e+00
+3.600000e+00	+1.200000e+00	+1.058746e+00	+0.000000e+00	+1.058746e+00
+4.000000e+00	+1.200000e+00	+9.933974e-01	+0.000000e+00	+9.933974e-01
+4.400000e+00	+1.200000e+00	+9.320176e-01	+0.000000e+00	+9.320176e-01
+4.800000e+00	+1.200000e+00	+8.743458e-01	+0.000000e+00	+8.743458e-01
+5.200000e+00	+1.200000e+00	+8.201442e-01	+0.000000e+00	+8.201442e-01
+5.600000e+00	+1.200000e+00	+7.691963e-01	+0.000000e+00	+7.691963e-01
+6.000000e+00	+1.200000e+00	+7.212881e-01	+0.000000e+00	+7.212881e-01
+6.400000e+00	+1.200000e+00	+6.762276e-01	+0.000000e+00	+6.762276e-01
+6.800000e+00	+1.200000e+00	+6.338338e-01	+0.000000e+00	+6.338338e-01
+7.200000e+00	+1.200000e+00	+5.939412e-01	+0.000000e+00	+5.939412e-01
+7.600000e+00	+1.200000e+00	+5.563923e-01	+0.000000e+00	+5.563923e-01
+8.000000e+00	+1.200000e+00	+5.210399e-01	+0.000000e+00	+5.210399e-01
+8.400000e+00	+1.200000e+00	+4.877472e-01	+0.000000e+00	+4.877472e-01
+8.800000e+00	+1.200000e+00	+4.563816e-01	+0.000000e+00	+4.563816e-01
+9.200000e+00	+1.200000e+00	+4.268186e-01	+0.000000e+00	+4.268186e-01
+9.600000e+00	+1.200000e+00	+3.989452e-01	+0.000000e+00	+3.989452e-01
+1.000000e+01	+1.200000e+00	+3.726508e-01	+0.000000e+00	+3.726508e-01
+1.040000e+01	+1.200000e+00	+3.478292e-01	+0.000000e+00	+3.478292e-01
+1.080000e+01	+1.200000e+00	+3.243843e-01	+0.000000e+00	+3.243843e-01
+1.120000e+01	+1.200000e+00	+3.022209e-01	+0.000000e+00	+3.022209e-01
+1.160000e+01	+1.200000e+00	+2.812509e-01	+0.000000e+00	+2.812509e-01
+1.200000e+01	+1.200000e+00	+2.613941e-01	+0.000000e+00	+2.613941e-01
+1.240000e+01	+1.200000e+00	+2.425701e-01	+0.000000e+00	+2.425701e-01
+1.280000e+01	+1.200000e+00	+2.247067e-01	+0.000000e+00	+2.247067e-01
+1.320000e+01	+1.200000e+00	+2.077349e-01	+0.000000e+00	+2.077349e-01
+1.360000e+01	+1.200000e+00	+1.915862e-01	+0.000000e+00	+1.915862e-01
+1.400000e+01	+1.200000e+00	+1.761964e-01	+0.000000e+00	+1.761964e-01
+1.440000e+01	+1.200000e+00	+1.615032e-01	+0.000000e+00	+1.615032e-01
+1.480000e+01	+1.200000e+00	+1.474477e-01	+0.000000e+00	+1.474477e-01
+1.520000e+01	+1.200000e+00	+1.339734e-01	+0.000000e+00	+1.339734e-01
+1.560000e+01	+1.200000e+00	+1.210272e-01	+0.000000e+00	+1.210272e-01
+1.600000e+01	+1.200000e+00	+1.085554e-01	+0.000000e+00	+1.085554e-01
+1.640000e+01	+1.200000e+00	+9.651071e-02	+0.000000e+00	+9.651071e-02
+1.680000e+01	+1.200000e+00	+8.484420e-02	+0.000000e+00	+8.484420e-02
+1.720000e+01	+1.200000e+00	+7.351396e-02	+0.000000e+00	+7.351396e-02
+1.760000e+01	+1.200000e+00	+6.247417e-02	+0.000000e+00	+6.247417e-02
+1.800000e+01	+1.200000e+00	+5.168459e-02	+0.000000e+00	+5.168459e-02
+1.840000e+01	+1.200000e+00	+4.110268e-02	+0.000000e+00	+4.110268e-02
+1.880000e+01	+1.200000e+00	+3.068634e-02	+0.000000e+00	+3.068634e-02
+1.920000e+01	+1.200000e+00	+2.039263e-02	+0.000000e+00	+2.039263e-02
+1.960000e+01	+1.200000e+00	+1.017895e-02	+0.000000e+00	+1.017895e-02
+2.000000e+01	+1.200000e+00	+0.000000e+00	+0.000000e+00	+0.000000e+00

+0.000000e+00	+1.600000e+00	+2.269158e+00	+0.000000e+00	+2.269158e+00
+4.000000e-01	+1.600000e+00	+2.328206e+00	+0.000000e+00	+2.328206e+00
+8.000000e-01	+1.600000e+00	+2.189203e+00	+0.000000e+00	+2.189203e+00
+1.200000e+00	+1.600000e+00	+2.057493e+00	+0.000000e+00	+2.057493e+00
+1.600000e+00	+1.600000e+00	+1.930936e+00	+0.000000e+00	+1.930936e+00
+2.000000e+00	+1.600000e+00	+1.812084e+00	+0.000000e+00	+1.812084e+00
+2.400000e+00	+1.600000e+00	+1.700502e+00	+0.000000e+00	+1.700502e+00
+2.800000e+00	+1.600000e+00	+1.595753e+00	+0.000000e+00	+1.595753e+00
+3.200000e+00	+1.600000e+00	+1.497422e+00	+0.000000e+00	+1.497422e+00
+3.600000e+00	+1.600000e+00	+1.405103e+00	+0.000000e+00	+1.405103e+00
+4.000000e+00	+1.600000e+00	+1.318383e+00	+0.000000e+00	+1.318383e+00
+4.400000e+00	+1.600000e+00	+1.236932e+00	+0.000000e+00	+1.236932e+00
+4.800000e+00	+1.600000e+00	+1.160402e+00	+0.000000e+00	+1.160402e+00
+5.200000e+00	+1.600000e+00	+1.088473e+00	+0.000000e+00	+1.088473e+00
+5.600000e+00	+1.600000e+00	+1.020858e+00	+0.000000e+00	+1.020858e+00
+6.000000e+00	+1.600000e+00	+9.572793e-01	+0.000000e+00	+9.572793e-01
+6.400000e+00	+1.600000e+00	+8.974771e-01	+0.000000e+00	+8.974771e-01
+6.800000e+00	+1.600000e+00	+8.412173e-01	+0.000000e+00	+8.412173e-01
+7.200000e+00	+1.600000e+00	+7.882728e-01	+0.000000e+00	+7.882728e-01
+7.600000e+00	+1.600000e+00	+7.384390e-01	+0.000000e+00	+7.384390e-01
+8.000000e+00	+1.600000e+00	+6.915208e-01	+0.000000e+00	+6.915208e-01
+8.400000e+00	+1.600000e+00	+6.473346e-01	+0.000000e+00	+6.473346e-01
+8.800000e+00	+1.600000e+00	+6.057060e-01	+0.000000e+00	+6.057060e-01
+9.200000e+00	+1.600000e+00	+5.664726e-01	+0.000000e+00	+5.664726e-01
+9.600000e+00	+1.600000e+00	+5.294800e-01	+0.000000e+00	+5.294800e-01
+1.000000e+01	+1.600000e+00	+4.945812e-01	+0.000000e+00	+4.945812e-01
+1.040000e+01	+1.600000e+00	+4.616406e-01	+0.000000e+00	+4.616406e-01
+1.080000e+01	+1.600000e+00	+4.305238e-01	+0.000000e+00	+4.305238e-01
